FinancialYear;PresentationType;StateOrTerritory;GeographicAreaType;GeographicAreaCode;GeographicAreaName;Measure;Value
2014–15;Mental health-related presentations;Victoria;SA4;SA4205;Latrobe - Gippsland;Number;3213
2014–15;Mental health-related presentations;Victoria;SA4;SA4205;Latrobe - Gippsland;Rate (per 10,000 population);120
2014–15;Mental health-related presentations;Victoria;SA4;SA4206;Melbourne - Inner;Number;5402
2014–15;Mental health-related presentations;Victoria;SA4;SA4206;Melbourne - Inner;Rate (per 10,000 population);91
2014–15;Mental health-related presentations;Victoria;SA4;SA4207;Melbourne - Inner East;Number;1980
2014–15;Mental health-related presentations;Victoria;SA4;SA4207;Melbourne - Inner East;Rate (per 10,000 population);54
2014–15;Mental health-related presentations;Victoria;SA4;SA4208;Melbourne - Inner South;Number;2293
2014–15;Mental health-related presentations;Victoria;SA4;SA4208;Melbourne - Inner South;Rate (per 10,000 population);56
2014–15;Mental health-related presentations;Victoria;SA4;SA4209;Melbourne - North East;Number;3338
2014–15;Mental health-related presentations;Victoria;SA4;SA4209;Melbourne - North East;Rate (per 10,000 population);68
2014–15;Mental health-related presentations;Victoria;SA4;SA4210;Melbourne - North West;Number;2339
2014–15;Mental health-related presentations;Victoria;SA4;SA4210;Melbourne - North West;Rate (per 10,000 population);65
2014–15;Mental health-related presentations;Victoria;SA4;SA4211;Melbourne - Outer East;Number;3905
2014–15;Mental health-related presentations;Victoria;SA4;SA4211;Melbourne - Outer East;Rate (per 10,000 population);77
2014–15;Mental health-related presentations;Victoria;SA4;SA4212;Melbourne - South East;Number;7009
2014–15;Mental health-related presentations;Victoria;SA4;SA4212;Melbourne - South East;Rate (per 10,000 population);94
2014–15;Mental health-related presentations;Victoria;SA4;SA4213;Melbourne - West;Number;4875
2014–15;Mental health-related presentations;Victoria;SA4;SA4213;Melbourne - West;Rate (per 10,000 population);69
2014–15;Mental health-related presentations;Victoria;SA4;SA4214;Mornington Peninsula;Number;2825
2014–15;Mental health-related presentations;Victoria;SA4;SA4214;Mornington Peninsula;Rate (per 10,000 population);97
2014–15;Mental health-related presentations;Victoria;SA4;SA4215;North West;Number;1267
2014–15;Mental health-related presentations;Victoria;SA4;SA4215;North West;Rate (per 10,000 population);84
2014–15;Mental health-related presentations;Victoria;SA4;SA4216;Shepparton;Number;1196
2014–15;Mental health-related presentations;Victoria;SA4;SA4216;Shepparton;Rate (per 10,000 population);92
2014–15;Mental health-related presentations;Victoria;SA4;SA4217;Warrnambool and South West;Number;766
2014–15;Mental health-related presentations;Victoria;SA4;SA4217;Warrnambool and South West;Rate (per 10,000 population);62
2014–15;Mental health-related presentations;Queensland;SA4;SA4301;Brisbane - East;Number;2540
2014–15;Mental health-related presentations;Queensland;SA4;SA4301;Brisbane - East;Rate (per 10,000 population);112
